Bepaling,BepalingCode,count,mean,std,min,25%,50%,75%,max,include,group
Calcium totaal,K_CA_UV,15,3.873333,3.671735,0.79,1.7,2.67,3.97,13.49,0,
CD19,H_CD19_BL,15,31.93333,44.81305,0,1,1,78.5,100,0,
CD20,H_CD20_BL,14,28.92857,45.67858,0,1,1,73,100,0,
Streptococcen anti DNase testwaarde,M_DNasenum_SR,14,121.4286,57.89342,100,100,100,100,300,0,
Elastase,K_ELAS_FA,14,164.7857,161.6459,15,16,126.5,262.25,456,0,
Ethyleenglycol,A_ETG_EP,14,0.513929,0.596864,0.11,0.17375,0.25,0.535,2.1,0,
Blasten,H_fenoBlas_BE,14,24.96429,34.43836,0.1,0.675,3,45,87,0,
BK virus DNA,M_PCR_BKkwan_EP,14,43330,128663.8,500,1000,1000,4285,481000,0,
Drooggew.,K_DRGW_FA,14,14.10714,10.04164,6.8,8.675,10.95,15.625,45.6,0,
CD25,H_CD25_BL,14,18.07143,28.24199,0,1.75,7,14.75,89,0,
IGG-index,NIGG;L,14,0.657857,0.327042,0.32,0.4475,0.57,0.6375,1.38,0,
"Sulfamethoxazol, N4-acetyl",A_NSF_SR,14,66.14429,70.86505,11.67,21.675,36.047,57.26275,228.4,0,
IgM,H_IgM_BL,14,20.78571,34.27082,0,1,1,27,96,0,
Erytropoiet.,EPO;BL,14,154.2857,224.6835,6,18.75,74,160.5,736,0,
Mycoplasma pneumoniae DNA Cp waarde,M_PCR_Mpneu_SP_Cp,14,31.30571,4.199208,22.06,29.9525,32.07,33.465,36.82,0,
Segm.gran (OV),SSEGO;O,14,37.85714,35.25917,2,8.5,25,71.25,92,0,
CD22,H_CD22_BL,14,30.28571,45.05284,0,1,4,75.75,100,0,
Cal.W.Nat,K_NBOM_FA,14,619.7143,332.8329,305,375.5,537,802,1496,0,
Albumine Liq,ALBN;L,14,552.6429,694.1631,121,154.5,259.5,517.5,2670,0,
HLA-DR,H_HLADR_BL,14,67.64286,39.83544,2,27.25,94,99,100,0,
Legionella IgM testwaarde,M_LEGPNEMnum_SR,14,13.59286,21.83489,0.2,0.3,2.5,16.4,65.5,0,
Bartonella henselae IgM testwaarde,M_BARHENMnum_SR,14,0.267143,0.474543,-0.28,0.02,0.085,0.4,1.61,0,
pH,P_PH_UR,14,6.75,1.139332,5,6,7,7.75,8.5,0,
Aspergillus antigeen (Galactomannan),M_GALACAGint_BC,14,0.357143,0.448441,0,0.1,0.1,0.45,1.5,0,
Plasmacellen,SPLA;BL,14,5.357143,9.043545,1,1,2,3.75,34,0,
Anti Streptolysine-O testwaarde,M_ASLOnum_SR,14,343.7857,401.6428,56,200,200,221,1600,0,
EBV DNA Cp waarde,M_PCR_EBV_LI_Cp,14,34.60857,4.325913,28.77,30.325,35.595,38.38,40,0,
CD11c,H_CD11c_BL,14,41.92857,34.09819,1,15.75,36,46.5,100,0,
B-cellen,H_fenoBcel_BL,14,14.64286,27.04798,0,0.1,1,15.65,92.1,0,
IgG Ratio,IGGA;L,14,12.31857,16.66528,2,4.2,7.745,10.1775,66.7,0,
CD10,H_CD10_BL,14,7.571429,22.45582,0,1,1,1,85,0,
Campylobacter DNA Cp waarde,M_PCR_Campylobacter_FA_Cp,14,30.88143,6.084981,21.87,25.79,30.33,36.405,39.47,0,
Alb.Liq.Ser.,ALBS;BL,14,28178.57,8728.396,14300,21825,29100,35775,39400,0,
Legionella IgG testwaarde,M_LEGPNEGnum_SR,14,8.221429,11.8349,0.3,0.5,1.1,11.15,39.7,0,
"ENA, Jo1 antistoffen",K_EJO1_SR,14,12.04286,30.2898,0,0,0.1,0.375,86,0,
Everolimus,EVER;BL,14,8.261429,5.655244,1.96,4.55,7.77,8.6175,22.2,0,
"ENA, Centromeren antistoffen",K_ECENT_SR,14,17.57857,64.01918,0.1,0.2,0.2,0.6,240,0,
Album.ratio,NALR;L,14,19.89143,26.44299,4.08,7.4775,12.06,17.81,107.23,0,
Pro-Monocyten,SPMON;BL,14,12.42857,21.00445,1,3.25,4.5,9,79,0,
Digoxine,A_DIG_EP,14,0.963571,0.513474,0.2,0.6575,0.82,1.3325,1.88,,
C1-inh.act,C1ER;BL,13,1.337692,0.441723,0.66,1.07,1.25,1.47,2.5,0,
Zink,ZINK;BL,13,9.430769,2.616736,6.3,7.5,8.9,10,15,0,
Renineconc,K_RENC_EP,13,95.26154,124.846,0.5,6.8,66,128,461,0,
Amitriptyl.,ATRI;BL,13,0.178462,0.157101,0.02,0.07,0.15,0.23,0.57,0,
PMN% (OV),OPMP;B,13,33.54615,27.06993,0,20,27.1,50,100,0,
MN# (OV),OMNA;B,13,0.018,0.03111,0,0.003,0.005,0.009,0.11,0,
MN% (OV),OMNP;B,13,66.45385,27.06993,0,50,72.9,80,100,0,
Galzuren,K_GALZ_FA,13,1328.077,1021.085,700,700,881,1224,3686,0,
APC-ratio,APC;BL,13,2.792308,0.68976,1.8,2.3,2.8,3.1,4.1,0,
#Eosinofiel (OV),OEOA;B,13,0,0,0,0,0,0,0,0,
HBeAg testwaarde,M_HBeXLnum_SR,13,0.010592,0.001555,0.01,0.01,0.01,0.01,0.0156,0,
Com.C5 Kwan.,C007;BL,13,147.3077,26.94867,84,135,150,159,188,0,
Micro-Bse,K_BSEM_EB,13,51.15385,35.80001,3,25,40,75,120,0,
Methylmalonzuur,K_MMA_EP,13,0.436154,0.580482,0.1,0.21,0.25,0.32,2.27,0,
%Eosinofiel (OV),OEOP;B,13,0,0,0,0,0,0,0,0,
T-cel %,S_Tcellen_TS,13,29.74308,6.563832,15.67,29.1,30.15,33.44,39.71,0,
PSA,K_PSA_SR,13,14.83077,44.31573,0.1,0.4,1.5,5.3,162,0,
Aantal cellen geteld (HDIV),HDIV;BL,13,84.61538,37.55338,0,100,100,100,100,0,
PMN# (OV),OPMA;B,13,0.010692,0.016775,0,0.001,0.002,0.014,0.051,0,
CD34,H_CD34_BE,13,36.49308,46.01424,0,1,2.6,90,100,0,
Cumulatief T-cellen/KG,S_cumTcellenkg_TS,13,1.435385,0.774883,0.16,0.51,1.73,2.03,2.08,0,
a-1-Antitrypsine,K_AAT_SR,13,2.293385,0.61362,0.904,2.17,2.44,2.52,3.21,0,
Leishmania antistoffen DAT,M_LEISHDAT_SR,13,100,0,100,100,100,100,100,0,
AF-darm,DAAF;BL,13,15.84615,11.85219,1,6,15,22,41,0,
anti-C3d,H_DCkaart_anti_C3d_EB,13,1.423077,0.886147,0.5,1,1,2,3,0,
Chol/HDL berekening,Chol/HDL berekening;BL,13,6.290769,7.030217,2.54,3.16,3.85,6.06,29.17,0,
Tot. WBC*10^8,S_totWBC_TS,13,42.19692,29.69921,4.4,17.4,33.81,57,97,0,
CEA,K_CEA_SR,13,10.76923,20.80126,5,5,5,5,80,0,
T-cellen/KG,S_Tcellenkg_TS,13,1.435385,0.774883,0.16,0.51,1.73,2.03,2.08,0,
Renineact.,K_REAC_EP,12,4.075,7.328664,0.3,0.575,1.1,2.025,24,0,
Schistosoma antistoffen testwaarde (ELISA),M_SCHISELISAnum_SR,12,91,26.0803,56,64.25,94.5,107.25,132,0,
CD81,H_CD81_BL,12,60.75,30.97836,14,40.5,67.5,84,98,0,
Rifampicine,RIFM;BL,12,5.663333,3.356723,0.42,3.675,5.075,8.73,11.2,0,
Olanzapine,OLAN;BL,12,187.2667,283.2444,4,9,41.6,260.25,960,0,
PTH related peptide,K_PTRP_EP,12,0.583333,0.563807,0.3,0.3,0.3,0.45,2,0,
CD5,H_CD5_BL,12,16.33333,31.58634,0,1,1.5,8.75,99,0,
ADH,ADH;BL,12,28.15,47.38052,1.2,2.9,10.4,16.875,144,0,
NK-cellen,H_fenoNKcel_BE,12,1.191667,1.378707,0.1,0.25,0.9,1.55,5,0,
CD4/CD8,H_CD4CD8_BL,12,3.736667,5.211388,0.03,0.84,2.22,3.2,18,0,
Beta-HCG (UHCG),UHCG;U,12,19.83333,31.8229,3,4.75,9,18,118,0,
HbC (HbC),HBC;BL,12,36.62917,17.80406,11.35,17.175,41.75,50.4,63.63,0,
CD34,H_CD34_BL,12,44.68333,49.31977,0.2,1,16,100,100,0,
Schistosoma antistoffen testwaarde (IHA),M_SCHISIHAnum_SR,12,55,27.13602,20,35,60,80,80,0,
Paracetamol,PACE;BL,12,32.37917,33.93062,2.15,10.8125,17.26,38.48,106.64,0,
Transglutaminase IgA antist.,K_TGA_SR,12,0.583333,0.489589,0,0.2,0.5,1.025,1.4,0,
Aspergillus antigeen (Galactomannan) index,M_GALACAGnum_LI,12,0.05,0.052223,0,0,0.05,0.1,0.1,0,
CD56,H_CD56_BL,12,13.08333,28.80486,0,0.75,1,6.25,98,0,
Pregabaline,A_PGB_SR,11,4.308738,5.136721,0.3,1.222615,1.6,5.705445,16.3,0,
Micro-albumine,K_MALB_UV,11,293.8285,396.5651,4.65,102.505,181.692,310.025,1419,0,
T4,K_T4_HP,11,72.90909,36.56625,10,47.5,80,100,120,0,
CD157 op mono's,H_CD157_mono_BL,11,0.002727,0.006467,0,0,0,0,0.02,0,
CD3,H_CD3_BL,11,11.27273,29.82982,0,1,1,1,100,0,
Insuline,INSU;BL,11,165.4545,177.7922,17,30,39,296.5,460,0,
Midazolam,A_MDZ_SR,11,33.81182,43.12746,0.03,19.2,20,30,160,0,
cytoplasmatisch TdT,H_cTdT_BL,11,3.545455,8.790491,0,1,1,1,30,0,
NK-cellen,H_fenoNKcel_BL,11,1.189091,1.231466,0,0.45,1,1,4,0,
CD8,H_CD8_BL,11,2.363636,3.801913,0,0.5,1,1,10,0,
CD2,H_CD2_BL,11,22.90909,30.81056,0,1,12,37,100,0,
Can-Kreat ratio,A_CAN_KRratio_UR,11,22.17273,24.77455,2,5.35,12.6,30.85,76.8,0,
Estradiol,K_EE_SR,11,47.09091,42.28582,20,20,20,62,131,0,
CD117,H_CD117_BL,11,42.29091,39.59206,0.2,7.5,46,74.5,99,0,
CD13,H_CD13_BL,11,71.27273,32.91228,15,52.5,88,97,100,0,
FLAER monocyt,H_FLAERmono_BL,11,0,0,0,0,0,0,0,0,
Mycobacterium tuberculosis DNA Cp waarde,M_PCR_Mtub_SP_Cp,11,31.69818,5.863142,23.62,27.755,29.16,37.095,40,0,
Everolimus,A_EVR_EB,11,5.425122,1.506689,3.29755,4.425,5.2,5.99,8.25821,0,
T-cellen,H_fenoTcel_BE,11,11.50909,17.17559,1.9,3.6,5.1,9.9,61,0,
CA-19.9,K_C199_SR,11,123.4545,156.5863,5,10.5,24,252,390,0,
CD7,H_CD7_BL,11,12.81818,28.56158,0,1,1,9,96,0,
anti-FVIII,FA8R;BL,11,10.57273,11.48583,0,1.15,2.5,18.15,33,0,
Sediment,K_SED_UR,11,10,0,10,10,10,10,10,0,
S100,K_S100_SR,11,22.18455,59.7662,0.06,0.08,0.29,2.15,199,0,
Apixaban,APIX;BL,11,111,76.11964,29,66,77,145,268,0,
CD4/CD8,H_CD4CD8_BE,11,1.336364,0.685044,0.7,0.915,1,1.65,3,0,
Haloperidol,A_HAL_SR,11,6.625455,8.28535,0.43,0.57,3.98,8.005,25.7,0,
Hepatitis B virus DNA,M_PCR_HBV_load_SLV_EP,11,85710.27,280042.9,10,20,58,197.5,930000,0,
Ciclosporine AUC [0-12],A_CIC_AUC,11,5000.182,1755.177,1640,4227,5300,5980,7300,0,
Blasten,H_fenoBlas_BL,11,55.56364,35.24901,0.1,32.5,63,87,93,0,
C-Peptide,K_CP_SR,11,0.42,0.704585,0.05,0.095,0.17,0.37,2.5,0,
CD45,H_CD45_BL,11,100,0,100,100,100,100,100,0,
Sulfamethox.,SUFA;BL,11,86.58455,84.46362,27,42,46,78.215,267,0,
Totaal chol.,RCHO;O,11,1.856364,0.695115,1.06,1.34,1.82,2,3.34,0,
Plasmacellen,H_fenoPlas_BE,11,0.901818,2.032707,0.1,0.19,0.2,0.42,7,0,
HIV Ag+As testwaarde,M_HIVCOMnum_EP,11,0.163636,0.054822,0.1,0.12,0.16,0.205,0.27,0,
B-cellen,H_fenoBcel_BE,11,1.527273,1.817741,0.1,0.4,0.6,2,5.8,0,
CD14,H_CD14PNH_BL,11,0.000909,0.003015,0,0,0,0,0.01,0,
Humaan herpesvirus 6 kwan. DNA PCR,M_PCR_HHV6_load_LI,11,118036.4,278024.3,1000,1000,1000,40200,911000,0,
CD4,H_CD4_BL,11,27.36364,32.92498,0,1.5,8,50,89,0,
Leukocyten (RLEU),RLEU;B,11,1.418182,3.012912,0,0.05,0.1,0.15,8.4,0,
HHV-6 DNA Cp waarde,M_PCR_HHV6_EP_Cp,10,36.063,2.334843,30.91,35.375,36.02,37.24,39.08,0,
Clomipramine,A_CLM_SR,10,494.59,419.4095,23.4,115.875,466.35,752.05,1300,0,
CD133,H_CD133_BL,10,22.5,36.36925,1,1,2.5,25,96,0,
cytoplasmatisch IgM,H_cIgM_BL,10,2.6,6.131884,0,0.25,1,1,20,0,
CD15,H_CD15_BL,10,29.4,36.77318,0,1.5,14.5,59.5,95,0,
HBsAg confirmatie RFV1,M_HBsAgConfRFV1_SR,10,394.8,1132.158,6,10.25,15.5,50.25,3613,0,
CD65,H_CD65_BL,10,10.7,15.78361,0,1,3,12.25,45,0,
cytoplasmatisch CD79a,H_cCD79a_BL,10,4.5,8.657046,0,0.25,1,1,26,0,
Hemoglobine fractie A0 van HbA,K_A0P_EB,10,90.673,2.026108,87.05,89.7525,90.26,92.3025,93.57,0,
HBsAg confirmatie RFV2,M_HBsAgConfRFV2_SR,10,4565.9,4420.497,6,1326.25,2484.5,8476,11726,0,
Calprotectine,K_CALP_FA,10,1358.3,2082.823,211,486.75,744.5,1083.5,7212,0,
PFA-epi,PEPI;BL,10,127.7,40.46137,62,97.25,129,148.5,190,0,
CD11b,H_CD11b_BL,10,41.3,38.4969,0,8.75,27,81.25,95,0,
cytoplasmatisch CD3,H_cCD3_BL,10,0.9,0.875595,0,0.25,1,1,3,0,
Hemoglobine A1a fractie van HbA1,K_A1aP_EB,10,0.781,0.35986,0.45,0.53,0.68,0.8725,1.65,0,
Hemoglobine A1b fractie van HbA1,K_A1bP_EB,10,0.761,0.231202,0.44,0.66,0.775,0.85,1.22,0,
FLAER granulocyt,H_FLAER_BL,10,0.039,0.09255,0,0,0.01,0.0175,0.3,0,
Soort.gew.,KSOG;U,10,1018.8,7.238784,1005,1015,1020,1020.75,1033,0,
CA 15.3 (EC15),EC15;BL,10,195.2,476.3098,12,16.5,35,48,1543,0,
Clomipramine+Clomipramine desmethyl,A_CLMTOT_SR,10,620.03,522.1582,129.4,195.65,499.9,869,1800,0,
ProteÃ¯ne C activiteit,H_PTC_BL,10,118.7,34.94774,69,88.75,126.5,142.25,164,0,
CD36,H_CD36_BL,10,39.5,40.87447,1,3.75,22,83,92,0,
totale hemoglobine A1 fractie van HbA,K_A1TP_EB,10,7.937,1.646721,5.64,6.6825,8.03,8.7,11.29,0,
CD71,H_CD71_BL,10,21.8,26.0717,1,2.25,4,44.5,65,0,
CLIP,H_CLIP_BL,10,27.4,37.89518,0,0.25,7,57,93,0,
Cystatine C,K_CYSC_HP,10,2.259,0.524478,1.55,1.8775,2.245,2.5475,3.06,0,
Varicella-Zoster virus IgM testwaarde,M_VZVMnum_SR,10,0.1499,0.055262,0.1,0.104,0.1345,0.1815,0.27,0,
PFA-ADP,PADP;BL,10,100,21.10819,65,86.5,99,115.25,136,0,
CD59,H_CD59PNH_BL,10,0.026,0.052111,0,0,0.01,0.0175,0.17,0,
CD64,H_CD64_BL,10,40.7,41.04483,0,5.5,26,81,99,0,
CD157 op granulo's,H_CD157_gran_BL,10,0.151,0.25199,0,0.0025,0.01,0.19,0.7,0,
C3d-kwantitatief,C009;BL,10,2.699,1.258239,1.36,1.61,2.25,3.975,4.5,0,
CD14,H_CD14_BL,10,19.4,24.89623,0,1,1.5,44.5,55,0,
Ery's gewassen,A_ERY_GE,10,3.07,0.929038,1.53,2.48,3.1,3.605,4.41,0,
cytoplasmatisch MPO,H_cMPO_BL,10,49.1,39.62449,3,10.25,47,90,94,0,
6-Thioguanine nucleotiden,A_TGN_HB,10,335.615,368.5135,90.729,137.987,203.6315,377.898,1320.077,0,
CD42b,H_CD42b_BL,10,5.6,12.65087,0,1,1,1.75,41,0,
"Clomipramine, desmethyl",A_DCM_SR,10,125.44,145.0044,32.7,45.025,75.7,101.75,500,0,
CD61,H_CD61_BL,10,7.8,17.86244,0,1,1,1,57,0,
Anti-Xa Rivaroxaban (Xarelto),H_AXRIXB_CP,10,149.1,138.1002,30,63.5,109,140.25,419,0,
Risperidon,A_RSP_SR,10,18.389,45.07925,0.49,0.6,3.25,8,146,0,
Opmerking,K_UOPM_UR,10,10.9,17.7667,1,1,7.5,10,60,0,
"Risperidon, hydroxy",A_HSO_SR,10,47.34318,62.62045,2.54,10.27295,22.315,64.3425,209,0,
Banale kweek,M_banaal_BI_rap,10,3.2,0.421637,3,3,3,3,4,0,
Anti-Xa Edoxaban,EDOX;BL,10,126.7,87.1602,34,60.25,95.5,185.5,301,0,
CD52,H_CD52_BL,10,38.6,38.93927,1,3.75,23.5,71.25,99,0,
CD123,H_CD123_BE,10,64.3,24.22143,13,50.5,70.5,79,92,0,
Intern Commentaar,H_Tekst_InternComm_EB,10,6.65,7.944425,0.5,1,3.5,9.75,25,0,
BK virus DNA Cp waarde,M_PCR_BK_UR_Cp,10,17.639,5.738136,11.21,13.59,17.92,18.6625,31.22,0,
6-Thioguanine nucleotiden,A_TGNBer,10,367.9,365.3502,89,152.75,198,477.75,1250,0,
fractie van Labiele fractie SA1c van HbA1,K_LA1cP_EB,10,2.611,0.651536,1.78,2.0325,2.595,3.225,3.39,0,
pH,K_FPH_FA,10,5.95,1.065885,4,5.125,6,7,7,0,
Aspergillus antigeen (Galactomannan) index,M_GALACAGnum_OV,10,2.39,3.453002,0.1,0.1,0.2,4.525,8.2,0,
CD24,H_CD24PNH_BL,10,0.045,0.090952,0,0.0025,0.015,0.0375,0.3,0,
Gewicht portie nat (BOM),K_PNBOM_FA,10,30.26,14.77439,18.1,22.65,27,30.65,70.4,0,
CD33,H_CD33_BL,10,79.6,35.59401,1,88.25,97,99.5,100,0,
Gewicht portie droog (BOM),K_PDBOM_FA,10,3.43,1.699706,1.8,2.175,2.95,4.025,6.7,0,
LPa (LPA),LPA;BL,10,326.7,387.537,21,65,235.5,368.5,1299,0,
Foetale Hemoglobine fractie van Hb,K_FP_EB,10,0.676,0.233057,0.41,0.55,0.62,0.685,1.19,0,
Streptococcus pneumoniae PnPs type 15B,M_STRPNE15Bnum_SR,9,2.708889,4.385075,0.04,0.04,0.57,2.5,13,0,
Prolactine,PRL;BL,9,82.97778,187.3503,1,13.5,18,21.9,580,0,
Streptococcus pneumoniae PnPs type 23F,M_STRPNE23Fnum_SR,9,1.21,2.425072,0.04,0.12,0.17,0.26,7.3,0,
CD1a,H_CD1a_BL,9,0.666667,0.5,0,0,1,1,1,0,
Flucytocine,A_FYO_SR,9,62.35444,15.91991,34.78,59,63.7,66.27,85,0,
Kreatinine (GKRE),GKRE;U,9,6.333333,5.025933,0.9,2.1,4.6,9.4,15.5,0,
E.coli IgA antistoffen,K_ECOLIA_SR,9,121.3333,87.21525,43,56,99,139,326,0,
Anti Cardiolipine IgM,MCLn;BL,9,68.55556,115.6148,14,19,21,32,371,0,
L-index EPYS,K_LIPIND_EPYS,9,250.1111,446.8032,8,9,11,117,1188,0,
I-index EPYS,K_ICTIND_EPYS,9,22.11111,17.48889,0,17,20,26,57,0,
Galzuren,K_GALZ_FV,9,1600.333,1610.509,193,561,965,2524,4976,0,
Vitamine C,VTC;BL,9,7.312889,7.696922,0.59,1.87,5.56,7.67,23.7,0,
Natrium bep.supernatant,K_NAbep_FA,9,52.11111,40.44887,20,20,28,64,121,0,
Streptococcus pneumoniae PnPs type 33F,M_STRPNE33Fnum_SR,9,1.019556,2.134745,0.056,0.22,0.36,0.42,6.7,0,
Streptococcus pneumoniae PnPs type 20,M_STRPNE20num_SR,9,0.916222,1.29947,0.04,0.18,0.52,0.59,3.9,0,
Streptococcus pneumoniae PnPs type 19F,M_STRPNE19Fnum_SR,9,1.041667,2.181817,0.095,0.15,0.22,0.45,6.8,0,
CA-19.9,K_C199KC_SR,9,11302,33263.91,10,12,50,229,100000,0,
ANCA titer (vervolg),K_ANCATI_SR,9,133.3333,213.0728,20,20,40,80,640,0,
LH,LH;BL,9,9.411111,12.8723,0.4,0.8,4,10,32,0,
Koper,KOPER;BL,9,17.18889,4.223874,11.3,12.4,19.3,20.1,22.6,0,
Nortriptyline,NTRP;BL,9,549.5444,857.4358,21.82,174.13,259,395.91,2791.55,0,
Monocyten (OV),SMONO;O,9,10.88889,17.85668,1,2,4,9,57,0,
Streptococcus pneumoniae PnPs type 14,M_STRPNE14num_SR,9,4.973444,10.38391,0.04,0.061,0.74,4.3,32,0,
Kalium bep.supernatant,K_KAbep_FA,9,31,17,11,23,27,32,71,0,
M-histamine,MHST;U,9,131.8778,150.5635,28.7,33.6,57.2,117.8,442.6,0,
Toxoplasma Sabin Feldman liquor,M_ToxoSabinFeld_LI,9,1,0,1,1,1,1,1,0,
Toxoplasma gondii IgG testwaarde,M_TOXGnum_LI,9,3,0,3,3,3,3,3,0,
kappa/lambda,H_kaplamb_BE,9,1.147778,0.229062,0.81,1,1.1,1.31,1.5,0,
Insuline,K_INSU_SR,9,21.22222,15.52239,10,10,12,28,54,0,
CD90,H_CD90_BL,9,8.333333,9.797959,0,3,3,12,26,0,
BK virus DNA Cp waarde,M_PCR_BK_EP_Cp,9,36.23444,4.20319,26.65,35.64,36.82,39.19,40,0,
Streptococcus pneumoniae PnPs type 8,M_STRPNE8num_SR,9,1.519444,3.150514,0.04,0.27,0.29,0.62,9.8,0,
"Midazolam, 1-hydroxy",A_HMDZ_SR,9,32.36111,56.24356,0.06,9.43,10,30,180,0,
CD117,H_CD117_BE,9,51.55589,44.91925,0.003,6,65,94,98,0,
Chromogranine A,K_CGA_SR,9,2054.556,4620.984,35,201,481,1215,14320,0,
H-Index EPYS,K_HEMIND_EPYS,9,50.22222,137.9708,0,2,3,10,418,0,
Ethyl.glycol,EGLY;BL,9,283.3111,227.5194,101.8,130,220,240,790,0,
Toxoplasma gondii IgM testwaarde,M_TOXMXLnum_LI,9,3,0,3,3,3,3,3,0,
Streptococcus pneumoniae PnPs type 9V,M_STRPNE9Vnum_SR,9,0.502778,1.237334,0.04,0.052,0.089,0.14,3.8,0,
M-ImidazolAA,MIMI;U,9,3.8,3.411744,1.3,1.8,2.1,3.8,11.8,0,
Streptococcus pneumoniae PnPs type 6B,M_STRPNE6Bnum_SR,8,0.11525,0.150382,0.04,0.04,0.055,0.099,0.48,0,
"Midazolam, 4-hydroxy",A_HMZ_SR,8,16.015,12.02071,9.43,9.58,9.815,15,40,0,
Vrij Cortisol,K_VCORT_UV,8,792.5,1193.819,12,89,237.5,867,3441,0,
Plasmacellen (HPLA),HPLA;BL,8,9.625,23.59744,1,1,1,1.5,68,0,
ratio 6MMP-6TGN,A_MMP_TGN_RATIO,8,6.825,8.925525,0.5,1.075,4.4,7.675,27.3,0,
Herpes simplex IgM testwaarde,M_HSVMnum_EP,8,1.01375,1.077072,0.5,0.5,0.5,0.7775,3.5,0,
ADAMTS13 Act,WFCP;BL,8,40.75,17.75025,27,28.5,29.5,54.75,71,0,
Cytomegalovirus IgM testwaarde,M_CMVMXLnum_EP,8,12.2025,7.229082,5,5.2025,10.875,19.025,21.7,0,
Opmerking,H_Opmerking_beenmerg_EB,8,50,0,50,50,50,50,50,0,
L-Index EPC EK,K_LIPIND_EPC_EK,8,13.875,9.417878,5,9,10,15.75,35,0,
S.M.,P_SM_UR,8,1.016875,0.002588,1.015,1.015,1.015,1.02,1.02,0,
Kalium,K_KA_FV,8,37.125,21.83992,8,20.75,37.5,45.5,77,0,
CD7,H_CD7_BE,8,13,33.94954,0,0.75,1,2,97,0,
BK fles ped TTD (uren),M_BacFXped_POS,8,13.125,10.1304,0,7.95,11.15,23.175,24.8,0,
AFP,K_AFP_SR,8,14.375,26.5165,5,5,5,5,80,0,
CD19,H_CD19_BE,8,18.375,34.98546,0,1,2.5,12.5,100,0,
Fenobarbital,FENB;BL,8,25.45,15.72096,8.1,12.4,22.3,38.7,47.9,0,
CD56,H_CD56_BE,8,27.375,35.63681,1,1,4,58.5,84,0,
PTH stat peroperatief,K_PTHPO_EP,8,11.75,2.31455,7,11,12,13,15,0,
Vit-E,K_VIE_HP,8,24.825,6.162502,16.4,19.625,25.95,28.675,34.3,0,
Herpes simplex IgG testwaarde,M_HSVGnum_EP,8,20.57625,12.04926,0.82,16.5475,24.85,29.925,30,0,
6-Methylmercaptopurine,A_MMPBer,8,3089.375,5025.011,156,237.5,717,3156.5,14583,0,
6-Methylmercaptopurine,A_MMP_HB,8,2013.346,2474.628,138.7966,275.597,700.3575,3303.522,6972.277,0,
Ketonen (bloed),P_KET_GB,8,3.1375,2.612026,0.1,0.875,2.8,5.125,7,0,
Vrij Cortisol,K_VC_UR,8,272.5,379.4522,30,34.5,103.5,309.5,1115,0,
Mycoplasma pneumoniae DNA Cp waarde,M_PCR_Mpneu_BC_Cp,8,30.765,7.04042,19.76,27.945,33.27,36.045,36.9,0,
ProteÃ¯ne S antigeen vrij,H_PSV_BL,8,85.5,25.24169,27,88,96,99.25,100,0,
Vit-A,K_VIA_HP,8,1.5375,0.385218,1.1,1.275,1.45,1.7,2.2,0,
Lamotrigine,A_LMT_SR,8,3.449137,4.491909,0.49,1.292,1.59045,3.101375,13.8239,0,
Reverse T3,RT3;BL,8,0.41,0.273444,0.1,0.19,0.32,0.7025,0.77,0,
Amylase,K_AMYL_UR,8,1740.875,4582.91,10,41,104,267.25,13080,0,
H-Index EPC EK,K_HEMIND_EPC_EK,8,13.375,12.40895,6,6.75,9,12.75,43,0,
CMV DNA Cp waarde,M_PCR_CMV_BI_Cp,8,33.43625,5.989109,25.15,28.83,32.965,39.3925,40,0,
Cytomegalovirus IgG testwaarde,M_CMVGXLnum_EP,8,112.975,48.73619,27,83.15,116,148.75,180,0,
I-Index EPC EK,K_ICTIND_EPC_EK,8,26.875,3.720119,22,24,26,30.25,32,0,
CA-15.3,K_C153_SR,8,539.625,946.2692,11,17,27,624.25,2701,0,
Flucloxacilline,A_FLU_EP,8,66.925,46.23257,13.7,41.15,55.4,83.4,164.9,0,
Ammoniak,K_AMNK_EP,8,87.125,28.32948,56.5,65,88.3,94.925,143.4,0,
Sudanblack Perifeer,H_SBPE_BL,7,45.28571,47.37339,0,5.5,20,93,100,0,
PTH-rel.pept,PTHR;BL,7,1.257143,0.485994,0.5,1,1.3,1.6,1.8,0,
Citalopram (CILP),CILP;BL,7,41.29286,23.50426,22.9,24.825,29.29,50.295,86.62,0,
AX Clexane,CLEX;BL,7,1.085714,0.574336,0.42,0.785,0.84,1.41,1.95,0,
Banale kweek,M_banaal_KG_rap,7,3,0,3,3,3,3,3,0,
PTH STAT,K_PTH_EP_snel,7,91.15714,97.51396,9.6,24.3,58.6,135.15,251,0,
Plasmacellen#,HPLA#;BL,7,0.185714,0.17213,0.03,0.08,0.11,0.235,0.53,0,
CD13,H_CD13_BE,7,85.14286,20.07012,42,85.5,92,96.5,98,0,
Plasmacellen (OV),SPLAO;O,7,13.57143,10.69045,2,4.5,13,20,31,0,
PH-stick (decentraal),DUPHS;U,7,6.571429,1.133893,5,6,6,7.5,8,0,
CD15,H_CD15_BE,7,37.28571,31.01459,1,11,41,58,81,0,
CD8,H_CD8_BE,7,0.857143,0.377964,0,1,1,1,1,0,
T. pallidum IgG tegen 17 DK antigeen,M_SYFILISBLOTIgG17DK_SR,7,2.285714,0.95119,1,1.5,3,3,3,0,
